ID,Soort,DBH_cm,Hoogte_m
1,Quercus robur,20.75,21
2,Quercus robur,21.5,19.5
3,Fagus sylvatica,22,18.9
4,Fagus sylvatica,26.25,21.6
5,Quercus robur,26.75,24.3
6,Quercus robur,27,24.9
7,Quercus robur,27.5,19.8
8,Fagus sylvatica,27.5,22.5
9,Quercus robur,27.75,24
10,Fagus sylvatica,28,22.5
11,Fagus sylvatica,28.25,23.7
12,Quercus robur,28.5,22.8
13,Fagus sylvatica,28.5,22.8
14,Quercus robur,29.25,20.7
15,Fagus sylvatica,30,22.5
16,Quercus robur,32.25,22.2
17,Quercus robur,32.25,25.5
18,Quercus robur,33.25,25.8
19,Quercus robur,34.25,21.3
20,Quercus robur,34.5,19.2
21,Quercus robur,35,23.4
22,Fagus sylvatica,35.5,24
23,Fagus sylvatica,36.25,22.2
24,Quercus robur,40,21.6
25,Quercus robur,40.75,23.1
26,Quercus robur,43.25,24.3
27,Quercus robur,43.75,24.6
28,Fagus sylvatica,44.75,24
29,Fagus sylvatica,45,24
30,Quercus robur,45,24
31,Fagus sylvatica,51.5,26.1
